sample,thin_sample,who,value
84,840,adults,7.143590
85,850,monkeys,2.928452
85,850,kids,3.267482
85,850,tsimane,4.681779
85,850,adults,11.712049
86,860,monkeys,8.848092
86,860,kids,2.892473
86,860,tsimane,4.107458
86,860,adults,5.237949
87,870,monkeys,3.343580
87,870,kids,2.713845
87,870,tsimane,5.168796
87,870,adults,11.190704
88,880,monkeys,4.737149
88,880,kids,2.589797
88,880,tsimane,5.465994
88,880,adults,10.032443
89,890,monkeys,3.869048
89,890,kids,2.426834
89,890,tsimane,7.152583
89,890,adults,8.826401
90,900,monkeys,3.677584
90,900,kids,2.458386
90,900,tsimane,6.405855
90,900,adults,8.368867
91,910,monkeys,4.540454
91,910,kids,2.484550
91,910,tsimane,6.658351
91,910,adults,13.134137
92,920,monkeys,4.395147
92,920,kids,2.517791
92,920,tsimane,5.624115
92,920,adults,15.848994
93,930,monkeys,7.646689
93,930,kids,2.203969
93,930,tsimane,3.806673
93,930,adults,3.537774
94,940,monkeys,5.151678
94,940,kids,2.809007
94,940,tsimane,4.091127
94,940,adults,3.252526
95,950,monkeys,5.257204
95,950,kids,2.447638
95,950,tsimane,3.546559
95,950,adults,11.083076
96,960,monkeys,4.439476
96,960,kids,2.322057
96,960,tsimane,3.936401
96,960,adults,11.805603
97,970,monkeys,5.032486
97,970,kids,2.350573
97,970,tsimane,3.815150
97,970,adults,11.543250
98,980,monkeys,5.597635
98,980,kids,2.629908
98,980,tsimane,7.586448
98,980,adults,4.398356
99,990,monkeys,2.738771
99,990,kids,2.483476
99,990,tsimane,2.949098
99,990,adults,12.910492
100,1000,monkeys,4.140411
100,1000,kids,2.618620
100,1000,tsimane,5.875340
100,1000,adults,4.812836
101,1010,monkeys,1.891281
101,1010,kids,2.354359
101,1010,tsimane,4.818564
101,1010,adults,14.462983
102,1020,monkeys,3.184452
102,1020,kids,2.420692
102,1020,tsimane,3.834929
102,1020,adults,3.127345
103,1030,monkeys,4.004199
103,1030,kids,3.293132
103,1030,tsimane,4.236678
103,1030,adults,3.547795
104,1040,monkeys,3.180242
104,1040,kids,2.833063
104,1040,tsimane,3.579202
104,1040,adults,3.278631
105,1050,monkeys,3.172789
105,1050,kids,3.050335
105,1050,tsimane,3.561852
105,1050,adults,2.911707
106,1060,monkeys,3.746264
106,1060,kids,3.681092
106,1060,tsimane,4.436233
106,1060,adults,3.859885
107,1070,monkeys,6.005583
107,1070,kids,3.022727
107,1070,tsimane,3.187647
107,1070,adults,9.298537
108,1080,monkeys,5.015008
108,1080,kids,2.898202
108,1080,tsimane,3.645763
108,1080,adults,8.700346
109,1090,monkeys,3.926672
109,1090,kids,3.411558
109,1090,tsimane,3.101239
109,1090,adults,6.859501
110,1100,monkeys,5.183051
110,1100,kids,2.912217
110,1100,tsimane,4.218572
110,1100,adults,11.178935
111,1110,monkeys,5.560907
111,1110,kids,2.499074
111,1110,tsimane,4.406701
111,1110,adults,6.213866
112,1120,monkeys,3.031059
112,1120,kids,2.661474
112,1120,tsimane,3.311420
112,1120,adults,7.430139
113,1130,monkeys,3.197830
113,1130,kids,3.135665
113,1130,tsimane,3.169186
113,1130,adults,10.667770
114,1140,monkeys,3.026807
114,1140,kids,3.150178
114,1140,tsimane,3.038656
114,1140,adults,11.610272
115,1150,monkeys,4.273618
115,1150,kids,2.174522
115,1150,tsimane,3.373362
115,1150,adults,5.358924
116,1160,monkeys,3.726264
116,1160,kids,2.601744
116,1160,tsimane,3.497061
116,1160,adults,5.846285
117,1170,monkeys,3.339436
117,1170,kids,2.423641
117,1170,tsimane,3.400038
117,1170,adults,11.140790
118,1180,monkeys,5.451939
118,1180,kids,2.395820
118,1180,tsimane,3.749890
118,1180,adults,7.687641
119,1190,monkeys,9.036144
119,1190,kids,3.402903
119,1190,tsimane,2.834311
119,1190,adults,7.437165
120,1200,monkeys,10.514757
120,1200,kids,3.558379
120,1200,tsimane,2.933654
120,1200,adults,6.040449
121,1210,monkeys,2.969548
121,1210,kids,3.941061
121,1210,tsimane,2.520587
121,1210,adults,6.082706
122,1220,monkeys,4.206250
122,1220,kids,2.610413
122,1220,tsimane,2.180706
122,1220,adults,5.840478
123,1230,monkeys,1.635805
123,1230,kids,2.482464
123,1230,tsimane,2.816594
123,1230,adults,3.442100
124,1240,monkeys,7.016499
124,1240,kids,4.398194
124,1240,tsimane,2.527586
124,1240,adults,5.550203
125,1250,monkeys,4.298905
125,1250,kids,3.486543
125,1250,tsimane,3.090365
125,1250,adults,9.816725
126,1260,monkeys,7.703450
126,1260,kids,2.750364
126,1260,tsimane,2.218800
126,1260,adults,17.943663
127,1270,monkeys,2.100294
127,1270,kids,3.028390
127,1270,tsimane,2.613375
127,1270,adults,7.414836
128,1280,monkeys,3.983007
128,1280,kids,3.188907
128,1280,tsimane,2.343721
128,1280,adults,16.513201
129,1290,monkeys,4.271842
129,1290,kids,2.793665
129,1290,tsimane,2.596226
129,1290,adults,19.931344
130,1300,monkeys,4.160477
130,1300,kids,2.788904
130,1300,tsimane,2.592452
130,1300,adults,20.135456
131,1310,monkeys,3.356134
131,1310,kids,3.552239
131,1310,tsimane,2.554291
131,1310,adults,9.487475
132,1320,monkeys,3.370578
132,1320,kids,3.468201
132,1320,tsimane,2.470083
132,1320,adults,8.717202
133,1330,monkeys,3.602594
133,1330,kids,3.597358
133,1330,tsimane,2.239128
133,1330,adults,8.371225
134,1340,monkeys,3.636842
134,1340,kids,2.520974
134,1340,tsimane,3.123375
134,1340,adults,9.205032
135,1350,monkeys,5.012954
135,1350,kids,2.686852
135,1350,tsimane,2.029562
135,1350,adults,9.802020
136,1360,monkeys,4.376511
136,1360,kids,3.326074
136,1360,tsimane,2.953141
136,1360,adults,5.717559
137,1370,monkeys,7.747261
137,1370,kids,3.226051
137,1370,tsimane,2.238295
137,1370,adults,7.334859
138,1380,monkeys,2.904308
138,1380,kids,2.952571
138,1380,tsimane,3.213974
138,1380,adults,3.678242
139,1390,monkeys,3.588890
139,1390,kids,2.597032
139,1390,tsimane,3.150783
139,1390,adults,4.673278
140,1400,monkeys,3.490124
140,1400,kids,3.505799
140,1400,tsimane,2.829763
140,1400,adults,4.904870
141,1410,monkeys,3.642573
141,1410,kids,2.359044
141,1410,tsimane,1.924350
141,1410,adults,7.082671
142,1420,monkeys,4.518310
142,1420,kids,2.174081
142,1420,tsimane,1.552202
142,1420,adults,3.611148
143,1430,monkeys,3.243250
143,1430,kids,2.671172
143,1430,tsimane,2.210023
143,1430,adults,3.940025
144,1440,monkeys,5.910621
144,1440,kids,2.746846
144,1440,tsimane,2.849994
144,1440,adults,4.828568
145,1450,monkeys,3.160402
145,1450,kids,2.978731
145,1450,tsimane,2.340448
145,1450,adults,4.287773
146,1460,monkeys,3.549563
146,1460,kids,2.778281
146,1460,tsimane,2.021662
146,1460,adults,4.157835
147,1470,monkeys,1.768536
147,1470,kids,2.839232
147,1470,tsimane,2.039762
147,1470,adults,3.783599
148,1480,monkeys,3.333907
148,1480,kids,2.434646
148,1480,tsimane,2.511730
148,1480,adults,3.414218
149,1490,monkeys,2.409786
149,1490,kids,2.642690
149,1490,tsimane,2.588135
149,1490,adults,7.100261
150,1500,monkeys,2.654986
150,1500,kids,2.836064
150,1500,tsimane,2.769803
150,1500,adults,5.177985
151,1510,monkeys,2.176498
151,1510,kids,2.697382
151,1510,tsimane,2.655174
151,1510,adults,5.406331
152,1520,monkeys,2.283913
152,1520,kids,2.638897
152,1520,tsimane,2.677259
152,1520,adults,5.224077
153,1530,monkeys,2.283913
153,1530,kids,2.638897
153,1530,tsimane,2.677259
153,1530,adults,5.224077
154,1540,monkeys,3.364876
154,1540,kids,2.872666
154,1540,tsimane,2.694867
154,1540,adults,6.047234
155,1550,monkeys,3.364876
155,1550,kids,2.872666
155,1550,tsimane,2.694867
155,1550,adults,6.047234
156,1560,monkeys,3.635238
156,1560,kids,2.951328
156,1560,tsimane,2.581856
156,1560,adults,6.164763
157,1570,monkeys,3.593069
157,1570,kids,2.906436
157,1570,tsimane,2.452390
157,1570,adults,6.161827
158,1580,monkeys,3.208197
158,1580,kids,2.667677
158,1580,tsimane,2.431565
158,1580,adults,5.203796
159,1590,monkeys,1.301273
159,1590,kids,2.731195
159,1590,tsimane,3.176236
159,1590,adults,3.298296
160,1600,monkeys,2.157246
160,1600,kids,2.849599
160,1600,tsimane,3.075450
160,1600,adults,3.547009
161,1610,monkeys,1.666128
161,1610,kids,2.553202
161,1610,tsimane,2.215642
161,1610,adults,7.053301
162,1620,monkeys,1.948238
