sample,thin_sample,who,value
79,790,adults,0.000108
80,800,monkeys,0.078736
80,800,kids,0.015658
80,800,tsimane,0.005591
80,800,adults,0.000136
81,810,monkeys,0.078867
81,810,kids,0.014849
81,810,tsimane,0.006350
81,810,adults,0.000059
82,820,monkeys,0.079974
82,820,kids,0.014677
82,820,tsimane,0.006446
82,820,adults,0.000053
83,830,monkeys,0.074707
83,830,kids,0.012548
83,830,tsimane,0.000363
83,830,adults,0.000051
84,840,monkeys,0.075373
84,840,kids,0.012576
84,840,tsimane,0.000376
84,840,adults,0.000056
85,850,monkeys,0.078449
85,850,kids,0.012784
85,850,tsimane,0.000387
85,850,adults,0.000067
86,860,monkeys,0.079776
86,860,kids,0.012758
86,860,tsimane,0.000267
86,860,adults,0.000047
87,870,monkeys,0.084472
87,870,kids,0.012594
87,870,tsimane,0.000355
87,870,adults,0.000043
88,880,monkeys,0.079487
88,880,kids,0.012916
88,880,tsimane,0.003737
88,880,adults,0.000517
89,890,monkeys,0.068619
89,890,kids,0.010217
89,890,tsimane,0.001069
89,890,adults,0.001385
90,900,monkeys,0.073637
90,900,kids,0.010287
90,900,tsimane,0.000753
90,900,adults,0.001824
91,910,monkeys,0.081485
91,910,kids,0.013153
91,910,tsimane,0.001716
91,910,adults,0.001329
92,920,monkeys,0.082982
92,920,kids,0.018744
92,920,tsimane,0.001568
92,920,adults,0.000388
93,930,monkeys,0.091053
93,930,kids,0.013836
93,930,tsimane,0.001537
93,930,adults,0.000907
94,940,monkeys,0.090822
94,940,kids,0.013007
94,940,tsimane,0.001381
94,940,adults,0.000953
95,950,monkeys,0.088079
95,950,kids,0.014339
95,950,tsimane,0.000812
95,950,adults,0.001271
96,960,monkeys,0.090803
96,960,kids,0.013318
96,960,tsimane,0.002019
96,960,adults,0.000949
97,970,monkeys,0.065838
97,970,kids,0.018267
97,970,tsimane,0.002351
97,970,adults,0.000560
98,980,monkeys,0.084919
98,980,kids,0.016732
98,980,tsimane,0.004875
98,980,adults,0.001680
99,990,monkeys,0.086542
99,990,kids,0.014396
99,990,tsimane,0.002124
99,990,adults,0.000940
100,1000,monkeys,0.080919
100,1000,kids,0.013426
100,1000,tsimane,0.001071
100,1000,adults,0.001496
101,1010,monkeys,0.081479
101,1010,kids,0.015947
101,1010,tsimane,0.001858
101,1010,adults,0.000310
102,1020,monkeys,0.073406
102,1020,kids,0.017045
102,1020,tsimane,0.000963
102,1020,adults,0.000440
103,1030,monkeys,0.055952
103,1030,kids,0.017684
103,1030,tsimane,0.000987
103,1030,adults,0.001750
104,1040,monkeys,0.056019
104,1040,kids,0.016935
104,1040,tsimane,0.001220
104,1040,adults,0.001779
105,1050,monkeys,0.061825
105,1050,kids,0.019305
105,1050,tsimane,0.001101
105,1050,adults,0.002065
106,1060,monkeys,0.062713
106,1060,kids,0.019729
106,1060,tsimane,0.001090
106,1060,adults,0.001473
107,1070,monkeys,0.064259
107,1070,kids,0.015222
107,1070,tsimane,0.001822
107,1070,adults,0.001010
108,1080,monkeys,0.069394
108,1080,kids,0.014850
108,1080,tsimane,0.001826
108,1080,adults,0.000771
109,1090,monkeys,0.074962
109,1090,kids,0.012559
109,1090,tsimane,0.001920
109,1090,adults,0.001707
110,1100,monkeys,0.094955
110,1100,kids,0.009721
110,1100,tsimane,0.001539
110,1100,adults,0.000210
111,1110,monkeys,0.097501
111,1110,kids,0.008933
111,1110,tsimane,0.001002
111,1110,adults,0.000093
112,1120,monkeys,0.091872
112,1120,kids,0.008721
