sample,thin_sample,who,value
96,960,tsimane,0.003810
96,960,adults,0.001154
97,970,monkeys,0.073335
97,970,kids,0.019144
97,970,tsimane,0.001937
97,970,adults,0.000558
98,980,monkeys,0.076760
98,980,kids,0.020289
98,980,tsimane,0.002198
98,980,adults,0.000674
99,990,monkeys,0.089871
99,990,kids,0.011953
99,990,tsimane,0.001385
99,990,adults,0.001174
100,1000,monkeys,0.079941
100,1000,kids,0.011486
100,1000,tsimane,0.002445
100,1000,adults,0.000890
101,1010,monkeys,0.074932
101,1010,kids,0.011750
101,1010,tsimane,0.001752
101,1010,adults,0.001134
102,1020,monkeys,0.074943
102,1020,kids,0.011114
102,1020,tsimane,0.001600
102,1020,adults,0.000992
103,1030,monkeys,0.073971
103,1030,kids,0.011661
103,1030,tsimane,0.001695
103,1030,adults,0.001033
104,1040,monkeys,0.073971
104,1040,kids,0.011661
104,1040,tsimane,0.001695
104,1040,adults,0.001033
105,1050,monkeys,0.078154
105,1050,kids,0.013198
105,1050,tsimane,0.002188
105,1050,adults,0.001207
106,1060,monkeys,0.070483
106,1060,kids,0.015455
106,1060,tsimane,0.002008
106,1060,adults,0.001115
107,1070,monkeys,0.072882
107,1070,kids,0.014974
107,1070,tsimane,0.001756
107,1070,adults,0.001201
108,1080,monkeys,0.072610
108,1080,kids,0.012535
108,1080,tsimane,0.001577
108,1080,adults,0.001454
109,1090,monkeys,0.086630
109,1090,kids,0.011080
109,1090,tsimane,0.001219
109,1090,adults,0.000608
110,1100,monkeys,0.090919
110,1100,kids,0.013359
110,1100,tsimane,0.002098
110,1100,adults,0.000446
111,1110,monkeys,0.065996
111,1110,kids,0.015061
111,1110,tsimane,0.003000
111,1110,adults,0.000480
112,1120,monkeys,0.066078
112,1120,kids,0.014332
112,1120,tsimane,0.002120
112,1120,adults,0.000328
113,1130,monkeys,0.076215
113,1130,kids,0.015644
113,1130,tsimane,0.001572
113,1130,adults,0.001632
114,1140,monkeys,0.067554
114,1140,kids,0.014399
114,1140,tsimane,0.003026
114,1140,adults,0.000209
115,1150,monkeys,0.084111
115,1150,kids,0.014102
115,1150,tsimane,0.001350
115,1150,adults,0.000033
116,1160,monkeys,0.084466
116,1160,kids,0.016873
116,1160,tsimane,0.002956
116,1160,adults,0.000045
117,1170,monkeys,0.085346
117,1170,kids,0.014158
117,1170,tsimane,0.002407
117,1170,adults,0.004431
118,1180,monkeys,0.073929
118,1180,kids,0.014836
118,1180,tsimane,0.001715
118,1180,adults,0.000198
119,1190,monkeys,0.084235
119,1190,kids,0.013644
119,1190,tsimane,0.002110
119,1190,adults,0.000924
120,1200,monkeys,0.068247
120,1200,kids,0.014654
120,1200,tsimane,0.002432
120,1200,adults,0.002599
121,1210,monkeys,0.073657
121,1210,kids,0.013229
121,1210,tsimane,0.005658
121,1210,adults,0.003919
122,1220,monkeys,0.078197
122,1220,kids,0.017179
122,1220,tsimane,0.000308
122,1220,adults,0.000160
123,1230,monkeys,0.078017
123,1230,kids,0.015840
123,1230,tsimane,0.001177
123,1230,adults,0.001450
124,1240,monkeys,0.071464
124,1240,kids,0.014151
124,1240,tsimane,0.000574
124,1240,adults,0.001019
125,1250,monkeys,0.068222
125,1250,kids,0.012601
125,1250,tsimane,0.000300
125,1250,adults,0.001702
126,1260,monkeys,0.094716
126,1260,kids,0.018227
126,1260,tsimane,0.005890
126,1260,adults,0.000399
127,1270,monkeys,0.067226
127,1270,kids,0.015700
127,1270,tsimane,0.000535
127,1270,adults,0.000161
128,1280,monkeys,0.093154
128,1280,kids,0.015638
128,1280,tsimane,0.000543
128,1280,adults,0.002651
129,1290,monkeys,0.074445
129,1290,kids,0.019286
129,1290,tsimane,0.000967
129,1290,adults,0.001623
130,1300,monkeys,0.087337
130,1300,kids,0.010978
130,1300,tsimane,0.000434
130,1300,adults,0.000418
131,1310,monkeys,0.064723
131,1310,kids,0.013189
131,1310,tsimane,0.000462
131,1310,adults,0.000926
132,1320,monkeys,0.086584
132,1320,kids,0.008556
132,1320,tsimane,0.000934
132,1320,adults,0.001403
133,1330,monkeys,0.076136
133,1330,kids,0.019807
133,1330,tsimane,0.002344
133,1330,adults,0.000251
134,1340,monkeys,0.083362
134,1340,kids,0.016457
134,1340,tsimane,0.004388
134,1340,adults,0.000586
135,1350,monkeys,0.067450
135,1350,kids,0.016145
135,1350,tsimane,0.003716
135,1350,adults,0.000217
136,1360,monkeys,0.075192
136,1360,kids,0.012873
136,1360,tsimane,0.000900
136,1360,adults,0.000363
137,1370,monkeys,0.082012
137,1370,kids,0.012489
137,1370,tsimane,0.000881
137,1370,adults,0.000356
138,1380,monkeys,0.065713
138,1380,kids,0.014510
138,1380,tsimane,0.003687
138,1380,adults,0.000634
139,1390,monkeys,0.063853
139,1390,kids,0.015160
139,1390,tsimane,0.003540
139,1390,adults,0.000591
140,1400,monkeys,0.091098
140,1400,kids,0.016061
140,1400,tsimane,0.000971
140,1400,adults,0.002204
141,1410,monkeys,0.058034
141,1410,kids,0.015079
141,1410,tsimane,0.002910
141,1410,adults,0.001043
142,1420,monkeys,0.089701
142,1420,kids,0.013910
142,1420,tsimane,0.000826
142,1420,adults,0.000306
143,1430,monkeys,0.061037
143,1430,kids,0.012159
143,1430,tsimane,0.002661
143,1430,adults,0.000429
144,1440,monkeys,0.066474
144,1440,kids,0.013634
144,1440,tsimane,0.005035
144,1440,adults,0.000718
145,1450,monkeys,0.084231
145,1450,kids,0.017131
145,1450,tsimane,0.000693
145,1450,adults,0.000273
146,1460,monkeys,0.061368
146,1460,kids,0.012301
146,1460,tsimane,0.001905
146,1460,adults,0.000568
147,1470,monkeys,0.066520
147,1470,kids,0.012811
147,1470,tsimane,0.002346
147,1470,adults,0.000070
148,1480,monkeys,0.061967
148,1480,kids,0.016582
148,1480,tsimane,0.001341
148,1480,adults,0.004602
149,1490,monkeys,0.084439
149,1490,kids,0.013771
149,1490,tsimane,0.001411
149,1490,adults,0.001410
150,1500,monkeys,0.081653
150,1500,kids,0.018044
150,1500,tsimane,0.000888
150,1500,adults,0.002618
151,1510,monkeys,0.067757
151,1510,kids,0.016498
151,1510,tsimane,0.001175
151,1510,adults,0.001483
152,1520,monkeys,0.066384
152,1520,kids,0.016802
152,1520,tsimane,0.002290
152,1520,adults,0.000236
153,1530,monkeys,0.067890
153,1530,kids,0.014191
153,1530,tsimane,0.001299
153,1530,adults,0.000414
154,1540,monkeys,0.079337
154,1540,kids,0.010334
154,1540,tsimane,0.001859
154,1540,adults,0.000734
155,1550,monkeys,0.079590
155,1550,kids,0.023482
155,1550,tsimane,0.000932
155,1550,adults,0.000541
156,1560,monkeys,0.082927
156,1560,kids,0.013861
156,1560,tsimane,0.003964
156,1560,adults,0.002074
157,1570,monkeys,0.089188
157,1570,kids,0.010955
157,1570,tsimane,0.002324
157,1570,adults,0.000059
158,1580,monkeys,0.086558
158,1580,kids,0.011590
158,1580,tsimane,0.001714
158,1580,adults,0.000061
159,1590,monkeys,0.077323
159,1590,kids,0.015651
159,1590,tsimane,0.001219
159,1590,adults,0.000075
160,1600,monkeys,0.072649
160,1600,kids,0.011509
160,1600,tsimane,0.000943
160,1600,adults,0.000089
161,1610,monkeys,0.082245
161,1610,kids,0.015261
161,1610,tsimane,0.001968
161,1610,adults,0.000432
162,1620,monkeys,0.073993
162,1620,kids,0.015136
162,1620,tsimane,0.002327
162,1620,adults,0.000346
163,1630,monkeys,0.078471
163,1630,kids,0.017752
163,1630,tsimane,0.001790
163,1630,adults,0.001147
164,1640,monkeys,0.088203
164,1640,kids,0.009290
164,1640,tsimane,0.002268
164,1640,adults,0.000325
165,1650,monkeys,0.081827
165,1650,kids,0.013541
165,1650,tsimane,0.002859
165,1650,adults,0.000265
166,1660,monkeys,0.077440
166,1660,kids,0.016276
166,1660,tsimane,0.000997
166,1660,adults,0.000369
167,1670,monkeys,0.076132
167,1670,kids,0.015583
167,1670,tsimane,0.001438
167,1670,adults,0.001960
168,1680,monkeys,0.082331
168,1680,kids,0.013093
168,1680,tsimane,0.002254
168,1680,adults,0.000402
169,1690,monkeys,0.077216
169,1690,kids,0.011158
169,1690,tsimane,0.001723
169,1690,adults,0.002077
170,1700,monkeys,0.062788
170,1700,kids,0.019362
170,1700,tsimane,0.002277
170,1700,adults,0.000388
171,1710,monkeys,0.073608
171,1710,kids,0.017391
171,1710,tsimane,0.002809
171,1710,adults,0.000378
172,1720,monkeys,0.070308
172,1720,kids,0.011859
172,1720,tsimane,0.001039
