sample,thin_sample,who,part,digits,value
67,670,kids,1,None,0.017694
67,670,tsimane,2,None,0.224335
67,670,adults,3,None,0.162314
68,680,monkeys,0,None,0.070404
68,680,kids,1,None,0.048242
68,680,tsimane,2,None,0.261780
68,680,adults,3,None,0.134903
69,690,monkeys,0,None,0.137021
69,690,kids,1,None,0.191903
69,690,tsimane,2,None,0.021969
69,690,adults,3,None,0.062849
70,700,monkeys,0,None,0.040377
70,700,kids,1,None,0.096491
70,700,tsimane,2,None,0.097227
70,700,adults,3,None,0.226779
71,710,monkeys,0,None,0.035120
71,710,kids,1,None,0.088537
71,710,tsimane,2,None,0.111866
71,710,adults,3,None,0.255429
72,720,monkeys,0,None,0.089954
72,720,kids,1,None,0.105571
72,720,tsimane,2,None,0.094042
72,720,adults,3,None,0.014703
73,730,monkeys,0,None,0.151345
73,730,kids,1,None,0.124594
73,730,tsimane,2,None,0.106014
73,730,adults,3,None,0.008768
74,740,monkeys,0,None,0.051975
74,740,kids,1,None,0.074524
74,740,tsimane,2,None,0.058842
74,740,adults,3,None,0.438661
75,750,monkeys,0,None,0.136588
75,750,kids,1,None,0.087325
75,750,tsimane,2,None,0.040837
75,750,adults,3,None,0.277326
76,760,monkeys,0,None,0.141839
76,760,kids,1,None,0.081524
76,760,tsimane,2,None,0.036766
76,760,adults,3,None,0.227030
77,770,monkeys,0,None,0.299520
77,770,kids,1,None,0.274868
77,770,tsimane,2,None,0.324001
77,770,adults,3,None,0.186093
78,780,monkeys,0,None,0.281454
78,780,kids,1,None,0.236177
78,780,tsimane,2,None,0.398177
78,780,adults,3,None,0.140691
79,790,monkeys,0,None,0.043031
79,790,kids,1,None,0.085206
79,790,tsimane,2,None,0.008555
79,790,adults,3,None,0.075855
80,800,monkeys,0,None,0.051264
80,800,kids,1,None,0.013783
80,800,tsimane,2,None,0.235776
80,800,adults,3,None,0.132233
81,810,monkeys,0,None,0.083456
81,810,kids,1,None,0.002900
81,810,tsimane,2,None,0.030289
81,810,adults,3,None,0.021124
82,820,monkeys,0,None,0.172667
82,820,kids,1,None,0.006365
82,820,tsimane,2,None,0.164598
82,820,adults,3,None,0.357746
83,830,monkeys,0,None,0.024901
83,830,kids,1,None,0.132542
83,830,tsimane,2,None,0.095129
83,830,adults,3,None,0.133490
84,840,monkeys,0,None,0.005471
84,840,kids,1,None,0.047246
84,840,tsimane,2,None,0.006469
84,840,adults,3,None,0.072642
85,850,monkeys,0,None,0.126945
85,850,kids,1,None,0.087520
85,850,tsimane,2,None,0.014060
85,850,adults,3,None,0.029341
86,860,monkeys,0,None,0.007797
86,860,kids,1,None,0.173533
86,860,tsimane,2,None,0.031436
86,860,adults,3,None,0.227569
87,870,monkeys,0,None,0.006973
87,870,kids,1,None,0.156663
87,870,tsimane,2,None,0.117470
87,870,adults,3,None,0.058624
88,880,monkeys,0,None,0.023250
88,880,kids,1,None,0.067028
88,880,tsimane,2,None,0.077579
88,880,adults,3,None,0.065132
89,890,monkeys,0,None,0.135414
89,890,kids,1,None,0.120316
89,890,tsimane,2,None,0.037231
89,890,adults,3,None,0.021628
90,900,monkeys,0,None,0.198534
90,900,kids,1,None,0.069614
90,900,tsimane,2,None,0.015591
90,900,adults,3,None,0.024297
91,910,monkeys,0,None,0.002566
91,910,kids,1,None,0.261785
91,910,tsimane,2,None,0.014650
91,910,adults,3,None,0.054695
92,920,monkeys,0,None,0.001980
92,920,kids,1,None,0.103987
92,920,tsimane,2,None,0.027821
92,920,adults,3,None,0.040866
93,930,monkeys,0,None,0.082289
93,930,kids,1,None,0.025900
93,930,tsimane,2,None,0.035395
93,930,adults,3,None,0.129595
94,940,monkeys,0,None,0.085644
94,940,kids,1,None,0.013270
94,940,tsimane,2,None,0.224404
94,940,adults,3,None,0.127600
95,950,monkeys,0,None,0.045604
95,950,kids,1,None,0.035924
95,950,tsimane,2,None,0.239931
95,950,adults,3,None,0.125870
96,960,monkeys,0,None,0.011018
96,960,kids,1,None,0.118592
96,960,tsimane,2,None,0.011684
96,960,adults,3,None,0.088186
97,970,monkeys,0,None,0.047824
97,970,kids,1,None,0.310831
97,970,tsimane,2,None,0.253330
97,970,adults,3,None,0.113573
98,980,monkeys,0,None,0.215020
98,980,kids,1,None,0.034604
98,980,tsimane,2,None,0.032258
98,980,adults,3,None,0.026559
99,990,monkeys,0,None,0.166685
99,990,kids,1,None,0.011375
99,990,tsimane,2,None,0.018176
99,990,adults,3,None,0.015354
100,1000,monkeys,0,None,0.153433
100,1000,kids,1,None,0.024193
100,1000,tsimane,2,None,0.014064
100,1000,adults,3,None,0.040122
101,1010,monkeys,0,None,0.191418
101,1010,kids,1,None,0.022531
101,1010,tsimane,2,None,0.007376
101,1010,adults,3,None,0.040380
102,1020,monkeys,0,None,0.307078
102,1020,kids,1,None,0.021933
102,1020,tsimane,2,None,0.008251
102,1020,adults,3,None,0.053712
103,1030,monkeys,0,None,0.389278
103,1030,kids,1,None,0.021908
103,1030,tsimane,2,None,0.011159
103,1030,adults,3,None,0.050089
104,1040,monkeys,0,None,0.137122
104,1040,kids,1,None,0.008287
104,1040,tsimane,2,None,0.003586
104,1040,adults,3,None,0.247219
105,1050,monkeys,0,None,0.128151
105,1050,kids,1,None,0.007955
105,1050,tsimane,2,None,0.002263
105,1050,adults,3,None,0.253990
106,1060,monkeys,0,None,0.174077
106,1060,kids,1,None,0.010139
106,1060,tsimane,2,None,0.005906
106,1060,adults,3,None,0.010758
107,1070,monkeys,0,None,0.230912
107,1070,kids,1,None,0.003119
107,1070,tsimane,2,None,0.011209
107,1070,adults,3,None,0.228887
108,1080,monkeys,0,None,0.031474
108,1080,kids,1,None,0.002712
108,1080,tsimane,2,None,0.008819
108,1080,adults,3,None,0.073635
109,1090,monkeys,0,None,0.022683
109,1090,kids,1,None,0.000958
109,1090,tsimane,2,None,0.008722
109,1090,adults,3,None,0.159496
110,1100,monkeys,0,None,0.000120
110,1100,kids,1,None,0.003958
110,1100,tsimane,2,None,0.012081
110,1100,adults,3,None,0.169713
111,1110,monkeys,0,None,0.000853
111,1110,kids,1,None,0.004831
111,1110,tsimane,2,None,0.072994
111,1110,adults,3,None,0.210341
112,1120,monkeys,0,None,0.000641
112,1120,kids,1,None,0.018849
112,1120,tsimane,2,None,0.083490
112,1120,adults,3,None,0.229849
113,1130,monkeys,0,None,0.010283
113,1130,kids,1,None,0.019595
113,1130,tsimane,2,None,0.083209
113,1130,adults,3,None,0.224074
114,1140,monkeys,0,None,0.008562
114,1140,kids,1,None,0.015763
114,1140,tsimane,2,None,0.047705
114,1140,adults,3,None,0.106485
115,1150,monkeys,0,None,0.025163
115,1150,kids,1,None,0.016331
115,1150,tsimane,2,None,0.158393
115,1150,adults,3,None,0.169215
116,1160,monkeys,0,None,0.041068
116,1160,kids,1,None,0.015601
116,1160,tsimane,2,None,0.509062
116,1160,adults,3,None,0.224031
117,1170,monkeys,0,None,0.036678
117,1170,kids,1,None,0.016301
117,1170,tsimane,2,None,0.568857
117,1170,adults,3,None,0.247162
118,1180,monkeys,0,None,0.034895
118,1180,kids,1,None,0.016569
118,1180,tsimane,2,None,0.573117
