 ,monkeys0 ,monkeys1 ,monkeys2 ,kids3 ,kids4 ,kids5 ,kids6 ,kids7 ,kids8 ,kids9 ,kids10 ,kids11 ,kids12 ,kids13 ,kids14 ,kids15 ,kids16 ,kids17 ,kids18 ,kids19 ,kids20 ,kids21 ,kids22 ,kids23 ,kids24 ,kids25 ,kids26 ,kids27 ,kids28 ,kids29 ,kids30 ,kids31 ,kids32 ,kids33 ,kids34 ,tsimane35 ,tsimane36 ,tsimane37 ,tsimane38 ,tsimane39 ,tsimane40 ,tsimane41 ,tsimane42 ,tsimane43 ,tsimane44 ,tsimane45 ,tsimane46 ,tsimane47 ,tsimane48 ,tsimane49 ,tsimane50 ,tsimane51 ,tsimane52 ,tsimane53 ,tsimane54 ,tsimane55 ,adults56 ,adults57 ,adults58 ,adults59 ,adults60 ,adults61 ,adults62
kids31,0.656496,0.025600,0.071301,0.011986,0.059489,0.017111,0.070027,0.032959,0.044193,0.019603,0.160513,0.034908,0.007367,0.021235,0.018407,0.013654,0.579572,0.192017,0.122549,0.026160,0.009454,0.076555,0.014916,0.056585,0.026689,0.052059,0.019044,0.029702,0.179915,0.019683,0.145425,0.000000,0.032457,0.048099,0.044316,0.015245,0.103431,0.014075,0.148755,0.031142,0.028080,0.152982,0.144499,0.161775,0.073269,0.005838,0.030706,0.146394,0.035893,0.023721,0.116882,0.116564,0.043262,0.024458,0.011795,0.040799,0.298446,0.174831,0.350569,0.394700,0.376534,0.173938,0.350559
kids32,0.780512,0.063679,0.176327,0.010409,0.113000,0.066578,0.147528,0.000308,0.092270,0.013237,0.252742,0.110452,0.035994,0.005829,0.090599,0.036093,0.679879,0.084468,0.205392,0.095905,0.026603,0.147149,0.080849,0.120752,0.094130,0.006026,0.075382,0.000289,0.276972,0.083108,0.250038,0.032457,0.000000,0.147766,0.001539,0.009114,0.180908,0.019182,0.249504,0.096573,0.099977,0.254658,0.240243,0.261226,0.166444,0.023367,0.067971,0.244771,0.086942,0.002051,0.199564,0.204323,0.089154,0.067071,0.052615,0.089265,0.427631,0.271191,0.492073,0.540962,0.521120,0.299247,0.490880
kids33,0.568102,0.073236,0.058246,0.088892,0.052428,0.025276,0.037532,0.149573,0.048109,0.097600,0.096791,0.016008,0.042540,0.112647,0.011412,0.056055,0.472550,0.414984,0.072405,0.021237,0.062270,0.080537,0.012113,0.041048,0.017969,0.192234,0.058924,0.140929,0.107150,0.019211,0.070135,0.048099,0.147766,0.000000,0.174857,0.094694,0.065690,0.078450,0.073593,0.018991,0.023201,0.077370,0.077104,0.088918,0.028008,0.057447,0.047374,0.077328,0.035439,0.126972,0.068784,0.064587,0.050511,0.039450,0.036616,0.046716,0.180590,0.104308,0.217864,0.250861,0.236681,0.074464,0.218284
kids34,0.800569,0.072598,0.194497,0.019325,0.139117,0.085546,0.177371,0.001771,0.115846,0.022683,0.290590,0.133288,0.050575,0.012577,0.111610,0.051414,0.706588,0.064635,0.239816,0.116374,0.039682,0.166165,0.101918,0.147504,0.114421,0.002023,0.087150,0.002139,0.316557,0.101984,0.288495,0.044316,0.001539,0.174857,0.000000,0.017107,0.213164,0.030534,0.288147,0.120666,0.122347,0.293137,0.277986,0.300099,0.196689,0.035881,0.088258,0.282751,0.110485,0.005237,0.233676,0.239048,0.112116,0.087669,0.070700,0.112225,0.476496,0.310101,0.544045,0.595358,0.574687,0.340933,0.542803
tsimane35,0.780108,0.059796,0.149325,0.001624,0.060243,0.030123,0.085156,0.009934,0.045065,0.001355,0.169312,0.073210,0.014805,0.001236,0.055279,0.009635,0.664633,0.146755,0.130475,0.062215,0.007246,0.114743,0.043359,0.064839,0.060597,0.027635,0.061397,0.008517,0.189263,0.051175,0.166592,0.015245,0.009114,0.094694,0.017107,0.000000,0.111185,0.002177,0.166284,0.049660,0.057783,0.169697,0.158676,0.175528,0.104586,0.006067,0.027927,0.162049,0.041513,0.007880,0.125859,0.129639,0.042719,0.028109,0.020088,0.042634,0.316087,0.183843,0.372022,0.414943,0.397587,0.206973,0.371135
tsimane36,0.952458,0.198172,0.214728,0.111648,0.008428,0.057867,0.004476,0.183700,0.015376,0.097328,0.006485,0.095367,0.087890,0.123381,0.080348,0.057931,0.772526,0.511469,0.001264,0.101354,0.084252,0.152818,0.059163,0.007623,0.097415,0.247903,0.166466,0.178348,0.010995,0.094990,0.008712,0.103431,0.180908,0.065690,0.213164,0.111185,0.000000,0.082940,0.007793,0.032563,0.056893,0.007836,0.005180,0.007874,0.032699,0.087929,0.028562,0.005771,0.020564,0.172225,0.000852,0.001678,0.016261,0.030197,0.048541,0.016641,0.053198,0.010056,0.076887,0.097501,0.088925,0.027367,0.076601
tsimane37,0.793643,0.065871,0.144869,0.003406,0.040029,0.021694,0.061159,0.020132,0.027677,0.001162,0.134094,0.063264,0.012005,0.004506,0.045893,0.003236,0.669365,0.182981,0.099983,0.054995,0.004618,0.103816,0.032583,0.044213,0.052121,0.044216,0.061712,0.018381,0.151989,0.043776,0.131739,0.014075,0.019182,0.078450,0.030534,0.002177,0.082940,0.000000,0.131894,0.034574,0.043425,0.135040,0.124826,0.139837,0.080632,0.004205,0.015232,0.127859,0.025462,0.017123,0.095901,0.098923,0.026068,0.015194,0.010689,0.026129,0.267465,0.147347,0.318886,0.358823,0.342591,0.169544,0.318108
tsimane38,0.939665,0.243154,0.240166,0.165570,0.027860,0.087040,0.015153,0.253051,0.040131,0.151014,0.003093,0.113599,0.125734,0.182469,0.103195,0.098247,0.746639,0.623559,0.003759,0.126044,0.129453,0.185224,0.083533,0.024848,0.120830,0.327687,0.211811,0.245545,0.003803,0.122234,0.002248,0.148755,0.249504,0.073593,0.288147,0.166284,0.007793,0.131894,0.000000,0.052351,0.082554,0.000489,0.000586,0.001302,0.041447,0.131892,0.058514,0.000965,0.043583,0.236703,0.004220,0.004134,0.042164,0.059610,0.082906,0.042283,0.028172,0.004383,0.046014,0.061682,0.054784,0.013079,0.045679
tsimane39,0.725393,0.086175,0.106754,0.046693,0.015695,0.009006,0.014205,0.097792,0.012707,0.047094,0.063455,0.021904,0.019260,0.060731,0.016621,0.017924,0.596729,0.348503,0.041547,0.023622,0.026182,0.085150,0.008425,0.011037,0.024120,0.141197,0.067173,0.093691,0.074828,0.022489,0.051173,0.031142,0.096573,0.018991,0.120666,0.049660,0.032563,0.034574,0.052351,0.000000,0.016693,0.055461,0.050825,0.062083,0.023663,0.027199,0.011051,0.052493,0.007027,0.083168,0.037870,0.036848,0.013323,0.008034,0.009380,0.011749,0.152223,0.070702,0.191142,0.223002,0.209231,0.064498,0.191195
tsimane40,0.703078,0.074533,0.077951,0.053153,0.038001,0.018507,0.033088,0.099071,0.026861,0.057382,0.094902,0.028310,0.031261,0.068805,0.022318,0.031718,0.596312,0.337103,0.068918,0.027585,0.031697,0.032096,0.014015,0.032322,0.015183,0.136367,0.038932,0.095376,0.107719,0.012712,0.071417,0.028080,0.099977,0.023201,0.122347,0.057783,0.056893,0.043425,0.082554,0.016693,0.000000,0.085666,0.079950,0.091995,0.013710,0.035299,0.028800,0.079758,0.019985,0.085107,0.065275,0.057819,0.032114,0.020851,0.015348,0.030317,0.192026,0.104712,0.232611,0.267791,0.252997,0.087899,0.233366
tsimane41,0.962583,0.251007,0.247521,0.170092,0.029517,0.089547,0.016418,0.258326,0.041713,0.154462,0.002413,0.120450,0.130970,0.186583,0.108907,0.101278,0.768459,0.631484,0.003570,0.131975,0.133441,0.189320,0.087995,0.025938,0.126463,0.333056,0.217739,0.250618,0.002881,0.127088,0.002406,0.152982,0.254658,0.077370,0.293137,0.169697,0.007836,0.135040,0.000489,0.055461,0.085666,0.000000,0.000810,0.000702,0.043383,0.136448,0.060216,0.000864,0.046111,0.242159,0.004327,0.004402,0.043552,0.062216,0.086063,0.043655,0.025638,0.003036,0.042735,0.058031,0.051492,0.012942,0.042473
tsimane42,0.967011,0.243262,0.244576,0.157947,0.024196,0.084092,0.013500,0.243333,0.035813,0.142864,0.001591,0.114635,0.122560,0.173739,0.103942,0.092588,0.773228,0.608768,0.001980,0.125274,0.122914,0.182356,0.082929,0.022103,0.121390,0.317197,0.208823,0.236889,0.002826,0.121730,0.002330,0.144499,0.240243,0.077104,0.277986,0.158676,0.005180,0.124826,0.000586,0.050825,0.079950,0.000810,0.000000,0.000706,0.041027,0.127297,0.053959,0.000237,0.040471,0.228261,0.002270,0.002321,0.037698,0.055670,0.078715,0.038077,0.028616,0.002900,0.047209,0.063311,0.056314,0.014287,0.046939
