who,id,alg_name,alg_type,val,sds
kids, 30, COCO, Other, 0.010187, 0.019054
kids, 30, COOM, Other, 0.016802, 0.027004
kids, 31, OMCO, Other, 0.052807, 0.065736
kids, 31, OCOM, Other, 0.079988, 0.058320
kids, 31, OOMC, Recursive, 0.324813, 0.110874
kids, 31, OMOC, Tail, 0.040742, 0.052717
kids, 31, OOCM, Crossing, 0.309852, 0.098764
kids, 31, OCCO, Other, 0.066377, 0.059375
kids, 31, CCOO, Other, 0.013987, 0.020930
kids, 31, COCO, Other, 0.086366, 0.061459
kids, 31, COOM, Other, 0.025069, 0.034124
kids, 32, OMCO, Other, 0.016402, 0.025460
kids, 32, OCOM, Other, 0.034959, 0.034016
kids, 32, OOMC, Recursive, 0.415713, 0.131303
kids, 32, OMOC, Tail, 0.039440, 0.045507
kids, 32, OOCM, Crossing, 0.460148, 0.125330
kids, 32, OCCO, Other, 0.007891, 0.013251
kids, 32, CCOO, Other, 0.007462, 0.013483
kids, 32, COCO, Other, 0.006456, 0.012186
kids, 32, COOM, Other, 0.011528, 0.018117
kids, 33, OMCO, Other, 0.178109, 0.099332
kids, 33, OCOM, Other, 0.047849, 0.047220
kids, 33, OOMC, Recursive, 0.227280, 0.083456
kids, 33, OMOC, Tail, 0.113827, 0.076574
kids, 33, OOCM, Crossing, 0.075256, 0.046310
kids, 33, OCCO, Other, 0.029829, 0.048085
kids, 33, CCOO, Other, 0.049102, 0.045418
kids, 33, COCO, Other, 0.100366, 0.064383
kids, 33, COOM, Other, 0.178382, 0.094309
kids, 34, OMCO, Other, 0.013294, 0.020056
kids, 34, OCOM, Other, 0.024169, 0.027913
kids, 34, OOMC, Recursive, 0.378562, 0.117791
kids, 34, OMOC, Tail, 0.020133, 0.029887
kids, 34, OOCM, Crossing, 0.532915, 0.118337
kids, 34, OCCO, Other, 0.010918, 0.019594
kids, 34, CCOO, Other, 0.006227, 0.013324
kids, 34, COCO, Other, 0.004487, 0.010916
kids, 34, COOM, Other, 0.009295, 0.015197
tsimane, 35, OMCO, Other, 0.008315, 0.017977
tsimane, 35, OCOM, Other, 0.018163, 0.027137
tsimane, 35, OOMC, Recursive, 0.435782, 0.118714
tsimane, 35, OMOC, Tail, 0.008498, 0.022646
tsimane, 35, OOCM, Crossing, 0.494638, 0.113181
tsimane, 35, OCCO, Other, 0.004646, 0.015401
tsimane, 35, CCOO, Other, 0.007994, 0.016952
tsimane, 35, COCO, Other, 0.006367, 0.015531
tsimane, 35, COOM, Other, 0.015597, 0.026668
tsimane, 36, OMCO, Other, 0.010623, 0.018643
tsimane, 36, OCOM, Other, 0.014956, 0.022714
tsimane, 36, OOMC, Recursive, 0.726068, 0.133961
tsimane, 36, OMOC, Tail, 0.008514, 0.018670
tsimane, 36, OOCM, Crossing, 0.221227, 0.122954
tsimane, 36, OCCO, Other, 0.005313, 0.013440
tsimane, 36, CCOO, Other, 0.002427, 0.010037
tsimane, 36, COCO, Other, 0.004233, 0.008695
tsimane, 36, COOM, Other, 0.006637, 0.014201
tsimane, 37, OMCO, Other, 0.012356, 0.026243
tsimane, 37, OCOM, Other, 0.018990, 0.025810
tsimane, 37, OOMC, Recursive, 0.434967, 0.112911
tsimane, 37, OMOC, Tail, 0.006106, 0.013954
tsimane, 37, OOCM, Crossing, 0.478634, 0.109809
tsimane, 37, OCCO, Other, 0.006280, 0.016412
tsimane, 37, CCOO, Other, 0.014135, 0.037102
tsimane, 37, COCO, Other, 0.006298, 0.017090
tsimane, 37, COOM, Other, 0.022235, 0.041770
tsimane, 38, OMCO, Other, 0.009603, 0.024382
tsimane, 38, OCOM, Other, 0.016903, 0.027433
tsimane, 38, OOMC, Recursive, 0.755950, 0.110810
tsimane, 38, OMOC, Tail, 0.006174, 0.014170
tsimane, 38, OOCM, Crossing, 0.165750, 0.097797
tsimane, 38, OCCO, Other, 0.006850, 0.018726
tsimane, 38, CCOO, Other, 0.007190, 0.019090
tsimane, 38, COCO, Other, 0.011458, 0.037525
tsimane, 38, COOM, Other, 0.020121, 0.041913
tsimane, 39, OMCO, Other, 0.065341, 0.074129
tsimane, 39, OCOM, Other, 0.097883, 0.090886
tsimane, 39, OOMC, Recursive, 0.441311, 0.158781
tsimane, 39, OMOC, Tail, 0.031742, 0.053549
tsimane, 39, OOCM, Crossing, 0.169890, 0.114658
tsimane, 39, OCCO, Other, 0.021421, 0.045845
tsimane, 39, CCOO, Other, 0.063514, 0.061628
tsimane, 39, COCO, Other, 0.053856, 0.058445
tsimane, 39, COOM, Other, 0.055042, 0.056771
tsimane, 40, OMCO, Other, 0.009463, 0.019733
tsimane, 40, OCOM, Other, 0.215986, 0.078169
tsimane, 40, OOMC, Recursive, 0.502020, 0.122841
tsimane, 40, OMOC, Tail, 0.010469, 0.024357
tsimane, 40, OOCM, Crossing, 0.239618, 0.104790
tsimane, 40, OCCO, Other, 0.003999, 0.011270
tsimane, 40, CCOO, Other, 0.006154, 0.015689
tsimane, 40, COCO, Other, 0.003687, 0.010755
tsimane, 40, COOM, Other, 0.008604, 0.017407
tsimane, 41, OMCO, Other, 0.008382, 0.014442
tsimane, 41, OCOM, Other, 0.013694, 0.021927
tsimane, 41, OOMC, Recursive, 0.770027, 0.120058
tsimane, 41, OMOC, Tail, 0.008742, 0.028541
tsimane, 41, OOCM, Crossing, 0.156239, 0.099271
tsimane, 41, OCCO, Other, 0.003759, 0.010715
tsimane, 41, CCOO, Other, 0.007227, 0.021641
tsimane, 41, COCO, Other, 0.011965, 0.032364
tsimane, 41, COOM, Other, 0.019965, 0.036939
tsimane, 42, OMCO, Other, 0.008516, 0.018884
tsimane, 42, OCOM, Other, 0.015534, 0.023729
tsimane, 42, OOMC, Recursive, 0.761604, 0.118730
tsimane, 42, OMOC, Tail, 0.006503, 0.020655
tsimane, 42, OOCM, Crossing, 0.161385, 0.099594
tsimane, 42, OCCO, Other, 0.003885, 0.010565
tsimane, 42, CCOO, Other, 0.007999, 0.019840
tsimane, 42, COCO, Other, 0.006213, 0.014800
tsimane, 42, COOM, Other, 0.028362, 0.055901
tsimane, 43, OMCO, Other, 0.009780, 0.020516
tsimane, 43, OCOM, Other, 0.013570, 0.017480
tsimane, 43, OOMC, Recursive, 0.764439, 0.109447
tsimane, 43, OMOC, Tail, 0.009581, 0.020997
tsimane, 43, OOCM, Crossing, 0.147077, 0.090580
tsimane, 43, OCCO, Other, 0.004476, 0.011282
tsimane, 43, CCOO, Other, 0.011411, 0.026562
tsimane, 43, COCO, Other, 0.017059, 0.036911
tsimane, 43, COOM, Other, 0.022607, 0.043518
tsimane, 44, OMCO, Other, 0.011900, 0.021178
tsimane, 44, OCOM, Other, 0.187144, 0.082710
tsimane, 44, OOMC, Recursive, 0.514917, 0.122741
tsimane, 44, OMOC, Tail, 0.012840, 0.024675
tsimane, 44, OOCM, Crossing, 0.187208, 0.086708
tsimane, 44, OCCO, Other, 0.006331, 0.014870
tsimane, 44, CCOO, Other, 0.015458, 0.032624
tsimane, 44, COCO, Other, 0.007726, 0.021321
tsimane, 44, COOM, Other, 0.056476, 0.069601
tsimane, 45, OMCO, Other, 0.007448, 0.015554
tsimane, 45, OCOM, Other, 0.061953, 0.066164
tsimane, 45, OOMC, Recursive, 0.401379, 0.109991
tsimane, 45, OMOC, Tail, 0.059581, 0.069523
tsimane, 45, OOCM, Crossing, 0.433045, 0.108362
tsimane, 45, OCCO, Other, 0.005735, 0.022191
tsimane, 45, CCOO, Other, 0.005889, 0.021529
tsimane, 45, COCO, Other, 0.005690, 0.014552
tsimane, 45, COOM, Other, 0.019281, 0.035073
tsimane, 46, OMCO, Other, 0.011575, 0.024522
tsimane, 46, OCOM, Other, 0.014581, 0.021267
tsimane, 46, OOMC, Recursive, 0.564929, 0.128732
tsimane, 46, OMOC, Tail, 0.010825, 0.029197
tsimane, 46, OOCM, Crossing, 0.369733, 0.130583
tsimane, 46, OCCO, Other, 0.005820, 0.012607
tsimane, 46, CCOO, Other, 0.006641, 0.012925
tsimane, 46, COCO, Other, 0.005203, 0.012667
tsimane, 46, COOM, Other, 0.010693, 0.017440
tsimane, 47, OMCO, Other, 0.007492, 0.017784
tsimane, 47, OCOM, Other, 0.015347, 0.022495
tsimane, 47, OOMC, Recursive, 0.768266, 0.124035
tsimane, 47, OMOC, Tail, 0.013129, 0.028142
tsimane, 47, OOCM, Crossing, 0.155766, 0.110955
tsimane, 47, OCCO, Other, 0.003010, 0.008005
tsimane, 47, CCOO, Other, 0.014121, 0.028715
tsimane, 47, COCO, Other, 0.006710, 0.017670
tsimane, 47, COOM, Other, 0.016159, 0.029454
tsimane, 48, OMCO, Other, 0.010946, 0.023447
tsimane, 48, OCOM, Other, 0.173340, 0.076498
tsimane, 48, OOMC, Recursive, 0.495669, 0.122608
tsimane, 48, OMOC, Tail, 0.017817, 0.039383
tsimane, 48, OOCM, Crossing, 0.277499, 0.102169
tsimane, 48, OCCO, Other, 0.010063, 0.024337
tsimane, 48, CCOO, Other, 0.004058, 0.010972
tsimane, 48, COCO, Other, 0.003370, 0.013450
tsimane, 48, COOM, Other, 0.007236, 0.014045
tsimane, 49, OMCO, Other, 0.012617, 0.029839
tsimane, 49, OCOM, Other, 0.018807, 0.029019
