who,id,alg_name,alg_type,val,sd
kids, 4, )([], Other, 0.007056, 0.016513
kids, 4, )[(], Other, 0.004295, 0.010512
kids, 4, [])(, Other, 0.003260, 0.010170
kids, 4, OMOM, Tail, 0.006380, 0.016154
kids, 4, OOMM, Recursive, 0.083162, 0.096808
kids, 4, (CC[, Other, 0.005153, 0.012530
kids, 4, ][)(, Other, 0.006255, 0.014002
kids, 4, (])[, Other, 0.006003, 0.014294
kids, 4, [CC(, Other, 0.005771, 0.014353
kids, 4, [(]), Other, 0.107357, 0.103362
kids, 4, O)O], Other, 0.006151, 0.013685
kids, 4, O)]O, Other, 0.004424, 0.012490
kids, 4, C[(M, Other, 0.003880, 0.011357
kids, 4, (C[M, Other, 0.005030, 0.012232
kids, 4, )][(, Other, 0.003910, 0.010362
kids, 4, ([)], Other, 0.010770, 0.023405
kids, 4, [()], Recursive, 0.140202, 0.092081
kids, 4, O])O, Other, 0.004379, 0.011359
kids, 4, ()[], Tail, 0.006795, 0.015264
kids, 4, ]()[, Other, 0.006366, 0.014351
kids, 4, (][), Other, 0.005119, 0.012601
kids, 4, [)](, Other, 0.004306, 0.011689
kids, 4, ([CM, Crossing, 0.030192, 0.045468
kids, 4, ]OO), Other, 0.004437, 0.011402
kids, 4, )]OO, Other, 0.003559, 0.011798
kids, 4, C(C[, Other, 0.006646, 0.016125
kids, 5, C[C(, Other, 0.005281, 0.012603
kids, 5, OCOM, Other, 0.005624, 0.013511
kids, 5, )O]O, Other, 0.005465, 0.012603
kids, 5, ][(), Other, 0.004607, 0.012183
kids, 5, CC[(, Other, 0.004582, 0.012470
kids, 5, ])[(, Other, 0.004480, 0.011867
kids, 5, OCCO, Other, 0.004782, 0.012584
kids, 5, )]([, Other, 0.004864, 0.011685
kids, 5, [C(M, Other, 0.005334, 0.013372
kids, 5, ])OO, Other, 0.004419, 0.011933
kids, 5, ()][, Other, 0.007597, 0.015218
kids, 5, [)(], Other, 0.005023, 0.011905
kids, 5, )[](, Other, 0.004724, 0.011925
kids, 5, OO]), Crossing, 0.024044, 0.036069
kids, 5, ]([), Other, 0.005230, 0.012008
kids, 5, )OO], Other, 0.004778, 0.012835
kids, 5, C([M, Other, 0.005096, 0.012551
kids, 5, OMCO, Other, 0.005970, 0.014065
kids, 5, OOCM, Crossing, 0.039244, 0.066158
kids, 5, ([]), Recursive, 0.049546, 0.048080
kids, 5, ]O)O, Other, 0.005473, 0.012275
kids, 5, ])([, Other, 0.005536, 0.012804
kids, 5, COOC, Other, 0.004285, 0.012401
kids, 5, O]O), Other, 0.006838, 0.015681
kids, 5, )(][, Other, 0.006838, 0.014863
kids, 5, OO)], Crossing, 0.189966, 0.172164
kids, 5, COCO, Other, 0.005157, 0.011536
kids, 5, [](), Tail, 0.005957, 0.014412
kids, 5, CCOO, Other, 0.004823, 0.012543
kids, 5, [(CM, Crossing, 0.035477, 0.052202
kids, 5, CC([, Other, 0.004945, 0.013234
kids, 5, )([], Other, 0.005536, 0.012490
kids, 5, )[(], Other, 0.003680, 0.011580
kids, 5, [])(, Other, 0.004192, 0.011260
kids, 5, OMOM, Tail, 0.005746, 0.014465
kids, 5, OOMM, Recursive, 0.066252, 0.078940
kids, 5, (CC[, Other, 0.004237, 0.010199
kids, 5, ][)(, Other, 0.004986, 0.012533
kids, 5, (])[, Other, 0.006521, 0.015204
kids, 5, [CC(, Other, 0.004424, 0.010487
kids, 5, [(]), Other, 0.012341, 0.023042
kids, 5, O)O], Other, 0.006030, 0.013841
kids, 5, O)]O, Other, 0.004722, 0.011761
kids, 5, C[(M, Other, 0.005249, 0.013961
kids, 5, (C[M, Other, 0.005272, 0.012522
kids, 5, )][(, Other, 0.003723, 0.010690
kids, 5, ([)], Other, 0.088263, 0.093347
kids, 5, [()], Recursive, 0.205908, 0.123965
kids, 5, O])O, Other, 0.004193, 0.010475
kids, 5, ()[], Tail, 0.006590, 0.015040
kids, 5, ]()[, Other, 0.005694, 0.014318
kids, 5, (][), Other, 0.004690, 0.011996
kids, 5, [)](, Other, 0.004914, 0.012552
kids, 5, ([CM, Crossing, 0.048178, 0.071333
kids, 5, ]OO), Other, 0.003615, 0.010626
kids, 5, )]OO, Other, 0.004385, 0.013349
kids, 5, C(C[, Other, 0.004670, 0.011454
kids, 6, C[C(, Other, 0.005752, 0.014959
kids, 6, OCOM, Other, 0.008563, 0.017568
kids, 6, )O]O, Other, 0.005357, 0.012771
kids, 6, ][(), Other, 0.004657, 0.012060
kids, 6, CC[(, Other, 0.004299, 0.012109
kids, 6, ])[(, Other, 0.005674, 0.013232
kids, 6, OCCO, Other, 0.006495, 0.017018
kids, 6, )]([, Other, 0.005740, 0.013574
kids, 6, [C(M, Other, 0.005346, 0.012451
kids, 6, ])OO, Other, 0.004911, 0.013407
kids, 6, ()][, Other, 0.008436, 0.016119
kids, 6, [)(], Other, 0.005850, 0.013512
kids, 6, )[](, Other, 0.005325, 0.013445
kids, 6, OO]), Crossing, 0.076714, 0.088988
kids, 6, ]([), Other, 0.005308, 0.013378
kids, 6, )OO], Other, 0.005025, 0.012945
kids, 6, C([M, Other, 0.005694, 0.015546
kids, 6, OMCO, Other, 0.006649, 0.013914
kids, 6, OOCM, Crossing, 0.080653, 0.124379
kids, 6, ([]), Recursive, 0.095011, 0.082673
kids, 6, ]O)O, Other, 0.005386, 0.013562
kids, 6, ])([, Other, 0.005385, 0.012984
kids, 6, COOC, Other, 0.004746, 0.012407
kids, 6, O]O), Other, 0.010717, 0.021740
kids, 6, )(][, Other, 0.005970, 0.014382
kids, 6, OO)], Crossing, 0.058013, 0.077608
kids, 6, COCO, Other, 0.004775, 0.013217
kids, 6, [](), Tail, 0.007303, 0.015460
kids, 6, CCOO, Other, 0.004956, 0.013310
kids, 6, [(CM, Crossing, 0.060993, 0.080204
kids, 6, CC([, Other, 0.006102, 0.013812
kids, 6, )([], Other, 0.008291, 0.020548
kids, 6, )[(], Other, 0.003922, 0.010899
kids, 6, [])(, Other, 0.004704, 0.012461
kids, 6, OMOM, Tail, 0.004629, 0.011794
kids, 6, OOMM, Recursive, 0.080464, 0.089831
kids, 6, (CC[, Other, 0.009508, 0.021482
kids, 6, ][)(, Other, 0.005608, 0.014389
kids, 6, (])[, Other, 0.013618, 0.024912
kids, 6, [CC(, Other, 0.005496, 0.013673
kids, 6, [(]), Other, 0.046170, 0.058922
kids, 6, O)O], Other, 0.005892, 0.014994
kids, 6, O)]O, Other, 0.005802, 0.016292
kids, 6, C[(M, Other, 0.003789, 0.010719
kids, 6, (C[M, Other, 0.010052, 0.021101
kids, 6, )][(, Other, 0.005406, 0.014334
kids, 6, ([)], Other, 0.046885, 0.061216
kids, 6, [()], Recursive, 0.091658, 0.069446
kids, 6, O])O, Other, 0.008843, 0.019512
kids, 6, ()[], Tail, 0.006410, 0.015554
kids, 6, ]()[, Other, 0.005635, 0.012760
kids, 6, (][), Other, 0.011232, 0.023146
kids, 6, [)](, Other, 0.004965, 0.012186
kids, 6, ([CM, Crossing, 0.071155, 0.084421
kids, 6, ]OO), Other, 0.004170, 0.011880
