Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS
k0478,2015.03.31,95,26,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.916667,532.1833,4006,4,1,FALSE,0,6,4,1,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,96,26,B,C,1,0,No Hint,Unknown,bl,bl,bl,1.133333,533.3167,4006,4,1,FALSE,0,6,1,4,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,97,26,D,D,1,0,No Hint,Unknown,1,0,bl,0.4833333,533.8,4006,4,1,FALSE,0,6,2,2,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,101,28,A,A,1,0,No Hint,Unknown,bl,bl,bl,9.116667,603.3333,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,102,28,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.9166667,604.25,4006,4,1,FALSE,0,6,5,1,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,103,28,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.433333,605.6833,4006,4,1,FALSE,0,6,0,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,104,28,B,D,1,0,No Hint,Unknown,1,0,bl,0.3666667,606.05,4006,4,1,FALSE,0,6,1,0,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,105,29,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.816667,614.6167,4006,4,1,FALSE,0,6,3,4,4006.03,,40,3,2,1,TEST ,CADB,Not Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,106,29,A,B,1,0,No Hint,Unknown,bl,bl,bl,2.15,616.7667,4006,4,1,FALSE,0,6,4,5,4006.01,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,107,29,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.416667,618.1833,4006,4,1,FALSE,0,6,1,3,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,108,29,B,D,1,0,No Hint,Unknown,1,0,bl,0.55,618.7333,4006,4,1,FALSE,0,6,5,1,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,112,31,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.783333,723.25,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,113,31,C,B,1,0,No Hint,Unknown,bl,bl,bl,2.333333,725.5833,4006,4,1,FALSE,0,6,3,5,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
